voivo,county,district,school_type,min_ratio,max_ratio,avg_ratio
2,11,2,Przedszkole,11.4,11.4,11.4
2,11,2,Szkoła podstawowa,5.586206896551724,8.80952380952381,7.453471478546442
2,11,3,Przedszkole,7.833333333333333,9.642857142857142,8.738095238095237
2,11,3,Szkoła podstawowa,8.0,8.410714285714286,8.205357142857142
2,11,3,Technikum,2.0,2.0,2.0
2,11,4,Gimnazjum,11.857142857142858,11.857142857142858,11.857142857142858
2,11,4,Przedszkole,13.0,13.0,13.0
2,11,4,Szkoła podstawowa,4.625,10.956521739130435,7.790760869565218
2,12,1,Liceum ogólnokształcące,5.5,6.0,5.75
2,12,1,Przedszkole,10.318181818181818,10.318181818181818,10.318181818181818
2,12,1,Szkoła podstawowa,3.0,10.279069767441861,5.628228980322003
2,12,1,Technikum,6.1,6.1,6.1
2,12,2,Gimnazjum,8.5,8.5,8.5
2,12,2,Liceum ogólnokształcące,7.9375,7.9375,7.9375
2,12,2,Przedszkole,11.1,11.1,11.1
2,12,2,Szkoła podstawowa,6.588235294117647,9.441176470588236,8.014705882352942
2,12,2,Technikum,6.5,6.5,6.5
2,12,3,Gimnazjum,1.2,1.2,1.2
2,12,3,Liceum ogólnokształcące,8.125,8.2,8.1625
2,12,3,Przedszkole,8.333333333333334,9.266666666666667,8.8
2,12,3,Szkoła podstawowa,4.0,11.446808510638299,6.946597060810139
2,12,3,Technikum,7.363636363636363,8.037037037037036,7.7003367003367
2,12,4,Gimnazjum,5.4,5.4,5.4
2,12,4,Liceum ogólnokształcące,7.5,7.5,7.5
2,12,4,Przedszkole,13.3,13.3,13.3
2,12,4,Szkoła podstawowa,4.2631578947368425,10.2,6.556265664160401
2,12,4,Technikum,4.2,4.2,4.2
2,12,5,Gimnazjum,11.0,11.0,11.0
2,12,5,Przedszkole,21.4,21.4,21.4
2,12,5,Szkoła podstawowa,7.333333333333333,7.333333333333333,7.333333333333333
2,13,1,Przedszkole,8.5,8.5,8.5
2,13,1,Szkoła podstawowa,4.571428571428571,9.921052631578947,7.246240601503759
2,13,2,Gimnazjum,29.0,29.0,29.0
2,13,2,Przedszkole,10.333333333333334,10.333333333333334,10.333333333333334
2,13,2,Szkoła podstawowa,6.958333333333333,10.21875,8.717361111111112
2,13,3,Gimnazjum,0.7647058823529411,0.7647058823529411,0.7647058823529411
2,13,3,Liceum ogólnokształcące,9.647058823529411,11.222222222222221,10.689760348583876
2,13,3,Przedszkole,4.035714285714286,14.0,11.244841269841269
2,13,3,Szkoła podstawowa,2.4411764705882355,9.490384615384615,5.893723599098986
2,13,3,Technikum,4.5625,8.85,6.70625
2,14,1,Liceum ogólnokształcące,6.5,17.9,11.695057915057914
2,14,1,Przedszkole,5.0,25.0,10.11678182928183
2,14,1,Szkoła podstawowa,3.608695652173913,12.666666666666666,9.778335701653804
2,14,1,Technikum,13.848484848484848,13.848484848484848,13.848484848484848
2,14,2,Liceum ogólnokształcące,7.333333333333333,7.333333333333333,7.333333333333333
2,14,2,Przedszkole,10.045454545454545,10.045454545454545,10.045454545454545
2,14,2,Szkoła podstawowa,4.095238095238095,10.360655737704919,6.532916991933386
2,14,2,Technikum,5.230769230769231,5.230769230769231,5.230769230769231
2,14,3,Przedszkole,13.055555555555555,13.055555555555555,13.055555555555555
2,14,3,Szkoła podstawowa,6.928571428571429,10.363636363636363,8.646103896103895
2,14,4,Gimnazjum,2.8,2.8,2.8
2,14,4,Przedszkole,11.0,13.714285714285714,12.357142857142858
2,14,4,Szkoła podstawowa,5.5,10.321428571428571,8.44047619047619
2,14,5,Przedszkole,10.7,10.7,10.7
2,14,5,Szkoła podstawowa,5.761904761904762,9.630434782608695,7.696169772256729
2,14,5,Technikum,5.25,5.25,5.25
2,14,6,Przedszkole,2.5,9.0,5.75
2,14,6,Szkoła podstawowa,5.35,9.0,7.5302730602730605
2,14,7,Liceum ogólnokształcące,7.777777777777778,14.0,10.88888888888889
2,14,7,Przedszkole,8.058823529411764,11.2,9.737908496732025
2,14,7,Szkoła podstawowa,4.473684210526316,9.96078431372549,7.560703714370285
2,14,7,Technikum,12.857142857142858,12.857142857142858,12.857142857142858
2,14,8,Liceum ogólnokształcące,6.75,6.75,6.75
2,14,8,Przedszkole,11.0,11.588235294117647,11.294117647058822
2,14,8,Szkoła podstawowa,6.608695652173913,11.186666666666667,8.37623188405797
2,14,8,Technikum,8.5,8.5,8.5
2,15,1,Liceum ogólnokształcące,2.625,36.77777777777778,15.21639515455305
2,15,1,Przedszkole,2.5,18.125,9.181375159998348
2,15,1,Szkoła podstawowa,2.3191489361702127,10.840909090909092,8.80915604921315
2,15,1,Technikum,10.35135135135135,10.523809523809524,10.437580437580436
2,15,2,Przedszkole,7.636363636363637,8.428571428571429,8.032467532467532
2,15,2,Szkoła podstawowa,4.416666666666667,8.133333333333333,6.672222222222222
2,15,3,Gimnazjum,10.0,10.0,10.0
2,15,3,Liceum ogólnokształcące,9.0,9.0,9.0
2,15,3,Przedszkole,10.571428571428571,13.0,11.445378151260504
2,15,3,Szkoła podstawowa,7.0,10.466666666666667,9.163459488459488
2,15,3,Technikum,9.555555555555555,9.555555555555555,9.555555555555555
2,15,4,Przedszkole,7.5,14.0,10.508333333333333
2,15,4,Szkoła podstawowa,3.1153846153846154,9.0,5.4902376693074375
2,16,1,Przedszkole,7.888888888888889,10.9375,9.413194444444445
2,16,1,Szkoła podstawowa,3.4285714285714284,9.884615384615385,5.913681318681318
2,16,1,Technikum,11.678571428571429,11.678571428571429,11.678571428571429
2,16,2,Przedszkole,13.444444444444445,13.444444444444445,13.444444444444445
2,16,2,Szkoła podstawowa,9.45945945945946,9.45945945945946,9.45945945945946
2,16,3,Gimnazjum,2.3076923076923075,2.3076923076923075,2.3076923076923075
2,16,3,Przedszkole,8.8,8.8,8.8
2,16,3,Szkoła podstawowa,4.586206896551724,8.48936170212766,6.537784299339692
2,16,4,Liceum ogólnokształcące,7.666666666666667,8.5,8.083333333333334
2,16,4,Przedszkole,3.5,18.5,8.91086691086691
2,16,4,Szkoła podstawowa,4.833333333333333,7.590361445783133,6.511362675026707
2,16,4,Technikum,8.375,8.375,8.375
2,16,5,Liceum ogólnokształcące,5.0,5.5,5.25
2,16,5,Przedszkole,9.0,15.333333333333334,12.166666666666668
2,16,5,Szkoła podstawowa,8.44,9.6,8.985555555555555
2,16,6,Przedszkole,11.357142857142858,11.357142857142858,11.357142857142858
2,16,6,Szkoła podstawowa,6.44,9.27027027027027,7.855135135135136
2,17,1,Gimnazjum,9.75,9.75,9.75
2,17,1,Przedszkole,10.545454545454545,10.545454545454545,10.545454545454545
2,17,1,Szkoła podstawowa,5.105263157894737,8.7,7.379532163742689
2,17,2,Przedszkole,9.9,9.9,9.9
2,17,2,Szkoła podstawowa,3.3333333333333335,6.923076923076923,5.128205128205129
2,17,3,Gimnazjum,12.333333333333334,12.333333333333334,12.333333333333334
2,17,3,Przedszkole,10.666666666666666,24.0,16.22222222222222
2,17,3,Szkoła podstawowa,10.88888888888889,10.88888888888889,10.88888888888889
2,17,4,Gimnazjum,0.5454545454545454,10.333333333333334,5.4393939393939394
2,17,4,Liceum ogólnokształcące,5.625,16.428571428571427,9.851190476190476
2,17,4,Przedszkole,1.5862068965517242,22.0,13.13374951961709
2,17,4,Szkoła podstawowa,1.0625,27.0,8.22997942325388
2,17,4,Technikum,6.023255813953488,7.865384615384615,6.944320214669052
2,17,5,Przedszkole,12.066666666666666,12.066666666666666,12.066666666666666
2,17,5,Szkoła podstawowa,4.4375,10.452380952380953,6.883928571428572
2,18,1,Gimnazjum,2.5,2.5,2.5
2,18,1,Przedszkole,19.5,19.5,19.5
2,18,1,Szkoła podstawowa,4.576923076923077,10.631578947368421,7.183077887025255
2,18,2,Przedszkole,12.75,12.75,12.75
2,18,2,Szkoła podstawowa,8.518518518518519,8.518518518518519,8.518518518518519
2,18,3,Przedszkole,10.0,14.666666666666666,12.22392156862745
2,18,3,Szkoła podstawowa,9.063492063492063,10.574468085106384,9.94908749139328
2,18,4,Liceum ogólnokształcące,2.8181818181818183,9.666666666666666,6.242424242424242
2,18,4,Przedszkole,5.3,9.8,8.275211455211457
2,18,4,Szkoła podstawowa,8.931034482758621,10.718181818181819,9.683510765796639
2,18,4,Technikum,7.68,8.0,7.84
2,18,5,Przedszkole,13.0,13.0,13.0
2,18,5,Szkoła podstawowa,6.277777777777778,10.483870967741936,8.380824372759857
2,19,1,Gimnazjum,0.6666666666666666,2.6,1.4638888888888888
2,19,1,Liceum ogólnokształcące,3.6923076923076925,13.0,8.923211347849305
2,19,1,Przedszkole,1.0,21.0,9.620775586847016
2,19,1,Szkoła podstawowa,0.5,11.108433734939759,6.918655757134776
2,19,1,Technikum,5.5,12.705882352941176,9.418504901960784
2,19,2,Gimnazjum,0.5,3.933333333333333,1.6708333333333334
2,19,2,Liceum ogólnokształcące,4.375,8.789473684210526,6.582236842105263
2,19,2,Przedszkole,8.5,23.0,15.047916666666666
2,19,2,Szkoła podstawowa,1.411764705882353,11.413793103448276,6.743227888856691
2,19,3,Szkoła podstawowa,4.956521739130435,8.689655172413794,6.741708093321759
2,19,4,Przedszkole,12.88888888888889,12.88888888888889,12.88888888888889
2,19,4,Szkoła podstawowa,6.818181818181818,10.340425531914894,8.293609857439646
2,19,5,Przedszkole,12.5,12.5,12.5
2,19,5,Szkoła podstawowa,7.590909090909091,10.25,8.920454545454545
2,19,6,Liceum ogólnokształcące,9.428571428571429,10.952380952380953,10.19047619047619
2,19,6,Przedszkole,1.5,12.0,7.853250915750915
2,19,6,Szkoła podstawowa,1.8235294117647058,10.941176470588236,6.786692713046664
2,19,6,Technikum,10.222222222222221,10.222222222222221,10.222222222222221
2,19,7,Przedszkole,6.25,12.5,8.863333333333333
2,19,7,Szkoła podstawowa,5.333333333333333,10.526315789473685,7.4321417839724475
2,19,7,Technikum,3.5714285714285716,3.5714285714285716,3.5714285714285716
2,19,8,Liceum ogólnokształcące,7.5,7.5,7.5
2,19,8,Przedszkole,11.0,11.166666666666666,11.083333333333332
2,19,8,Szkoła podstawowa,3.1538461538461537,10.069767441860465,6.16182932485258
2,19,8,Technikum,8.818181818181818,8.818181818181818,8.818181818181818
2,20,1,Gimnazjum,8.666666666666666,8.666666666666666,8.666666666666666
